요구사항 ID,구분,기능 간단 설명,기능명,상위 항목,상태,우선 순위,하위 항목
FEED_004,커뮤니티,사용자의 여행 패턴과 선호도를 분석하여 맞춤형 여행 로그를 추천/ 사용자의 행동 패턴을 분석하여 가중치 넘겨 게시물을 적절한 비율로 제공,여행기 피드 추천,,대기,2순위,
SETUP_005,개인 설정,본인이 생성한 단일 여행기에 대해 공게 및 비공개 설정,특정 여행기 공개/비공개 설정,,대기,2순위,
RECD_014,여행기 기록,"여행 기록 중, 기록 중인 여행기의 내용을 수정하거나 삭제 가능",기록 중인 여행기 데이터 편집 (수정 및 삭제),,대기,2순위,
SYS_001,시스템,TourAPI를 활용하여 영문 관광지 정보를 제공,다국어 지원 (영문),,대기,3순위,
GEN_001,여행기 생성,"여행 기록 종료 후, 사용자가 입력했던 감정 문장을 AI로 분석하여 태그 생성",감정 분석 및 태그 생성,,초안 작성,1순위,
COMM_003,커뮤니티,"종료된 단일 여행기에 대한 댓글 및 대댓글 조회, 작성, 수정, 삭제",여행기 댓글,,대기,3순위,
SETUP_007,개인 설정,,내가 북마크한 여행기 목록 조회,,대기,,
SETUP_003,개인 설정,다른 사용자가 생성한 여행기를 본인의 여행기에도 추가 (해당 여행기에 대한 모든 편집 권한 부여),여행  참여하기 기능,,대기,3순위,
GEN_002,여행기 생성,"여행 기록 종료 후, 수집된 데이터들을 바탕으로 완성된 여행기를 생성",여행기(피드) 생성,,대기,1순위,
RECD_013,여행기 기록,"여행 기록 중, 기록된 여행기 내용을 조회",기록 중인 여행기 데이터 조회,,대기,1순위,
RECD_005,여행기 기록,"여행 기록 중, 사용자가 원하는 시점에 텍스트로 감정을 작성하고 기록",감정 문장 기록,,초안 작성,1순위,
SETUP_006,개인 설정,,내가 좋아요한 여행기 목록 조회,,대기,,
FEED_003,커뮤니티,"다른 사용자의 여행기 목록에서 제목, 아키타입, 태그 등을 기반으로 검색하여 조회",여행기 검색 조회,,대기,3순위,
