상태,구분,요구사항 ID,기능명,기능 간단 설명,우선 순위
대기,계정 및 인증,AUTH_003,로그아웃,사용자가 로그인 세션을 종료하고 로그아웃할 수 있도록 처리,1순위
대기,계정 및 인증,AUTH_004,회원 탈퇴,사용자가 회원탈퇴 버튼을 클릭하여 계정을 탈퇴할 수 있도록 처리,1순위
대기,개인 설정,SETUP_001,나의 전체 여행기록 조회,본인이 생성한 모든 여행기 목록을 조회,2순위
초안 작성,개인 설정,SETUP_002,나의 종료된 단일 여행기 편집,본인이 생성한 단일 여행기에 대한 데이터 편집,2순위
대기,개인 설정,SETUP_003,여행  참여하기 기능,다른 사용자가 생성한 여행기를 본인의 여행기에도 추가 (해당 여행기에 대한 모든 편집 권한 부여),3순위
대기,개인 설정,SETUP_004,여행 통계 조회 기능,본인이 생성한 모든 여행 기록들을 취합하여 통계 정보 제공,3순위
대기,개인 설정,SETUP_005,특정 여행기 공개/비공개 설정,본인이 생성한 단일 여행기에 대해 공게 및 비공개 설정,2순위
대기,개인 설정,SETUP_006,내가 좋아요한 여행기 목록 조회,,
대기,개인 설정,SETUP_007,내가 북마크한 여행기 목록 조회,,
대기,보안 및 안정성,SECU_001,개인 정보 보안,개인 정보가 포함된 데이터에 대해 마스킹 처리하여 데이터베이스에 저장,1순위
대기,보안 및 안정성,SECU_002,데이터 백업 및 저장,여행 기록은 자동 저장 및 복구 기능을 통해 유실되지 않도록 조치,1순위
대기,보안 및 안정성,SECU_003,외부 API 출처 표기,공공 API 기반 콘텐츠는 출처 정보를 함께 표기,1순위
대기,보안 및 안정성,SECU_004,오프라인 모드 지원,"여행 기록 중, 네트워크 연결이 끊겨도 하드웨어에 기본 기록 가능, 온라인 전환 시 데이터 동기화 가능하게 구현",3순위
대기,보안 및 안정성,SECU_005,편집 중인 여행기 임시 저장,여행기 편집 중 상태는 임시 저장되어 종료 후에도 복원,3순위
대기,보안 및 안정성,SECU_006,배터리 최적화,-,3순위
대기,홍보 및 수익 창출,ADVR_001,광고 정보 삽입,여행기 사이에 주변 관광지·축제·맛집 등의 광고성 정보 삽입,3순위
